Data1:
0
1
13
A B C D E F G H I K L M N
B
0
0 1 0 0 0 0 1 0 0 0 1 0 1
1 0 0 1 0 1 1 0 1 0 0 1 0
0 0 0 0 0 0 0 0 0 0 1 1 0
0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0
1 0 1 0 0 0 0 1 0 0 0 0 0
0 1 1 0 0 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0

****************************************** DFS ****************************************
	n = 0:
A N L H C M K G B I F D E   
B M K C L H I G F D E A N   -> OK
C M K B I G F D E A N L H
D E B M K C L H I G F A N
E D B M K C L H I G F A N
F B M K C L H I G D E A N
G B M K C L H I F D E A N
H L C M K B I G F D E A N
I B M K C L H G F D E A N
K M C L H A N G B I F D E
L H C M K B I G F D E A N
M K C L H A N G B I F D E
N A L H C M K G B I F D E
	n = 1:
A B D E F I M C K G L H N
B A L C H N D E F G I M K -> OK
C L A B D E F I G N H M K
D B A L C H N F G I M K E
E D B A L C H N F G I M K
F B A L C H N D E G I M K
G A L C M K H N B D E F I
H L A B D E F I M K G N C
I B A L C H N D E F G M K
K M B A L H N D E F G I C
L A B D E F I M K G N C H
M B A L H N D E F G I C K
N A B D E F I M C K G L H
*******************************************************************************************
0
1
20
00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19
00
0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0

****************************************** DFS ****************************************
